schedule,mdrm,caption
RCL,RCON3555,1ST CP OF OT OFF BALANCE SHEET LIABI
RCL,RCON3556,2ND CP OF OT OFF BALANCE SHEET LIABI
RCL,RCON3557,3RD CP OF OT OFF BALANCE SHEET LIABI
LEO,RCON3561,NO. OF LOANS TO EXECUTIVE OFFICERS
LEO,RCON3562,TOT DOLLAR AMT OF LNS TO EXEC OFFCRS
RC,RCON3632,UNDIVIDED PROFITS & CAPITAL RESERVES
RCG,RCON3645,INTEREST ACCRUED & UNPAID ON DEPS
RCG,RCON3646,OTHER EXPENSES ACCRUED & UNPAID
RC,RCON3656,DIRECT INDIRECT INV IN RE
RCO,RCON3779,"# OF DEP ACCTS OF $100,000 OR LESS"
RCR,RCON3792,TOTAL RISK-BASED CAPITAL
RCR,RCON3809,INT RATE CONTRACTS-MAT 1 YR OR LESS
RCR,RCON3812,FGN EXCHG RATE CONTRACTS-MAT 1 YR OR
RCL,RCON3814,"UNUSED COMMITMENTS-REVOLVING, ETC."
RCL,RCON3815,UNUSED COMMITMENTS-CREDIT CARD LINES
RCL,RCON3816,COMMTMTS TO FUND LNS SECD BY RE
RCL,RCON3817,UNUSED COMMITMENTS-SECS UNDERWRITING
RCL,RCON3818,UNUSED COMMITMENTS-OTHER
RCL,RCON3819,"FINCL STANDBY LETTERS OF CREDIT,ETC."
RCL,RCON3820,AMT OF FINCL STANDBY LETTERS OF CR
RCL,RCON3821,PERFORMANCE STANDBY LETTERS OF CR
RCL,RCON3822,AMT OF PERFORMANCE STANDBY LETTERS
RCL,RCON3826,NOTIONAL VALUE OF FGN EXCHG SWAPS
RCR,RCON3833,UNUSED COMMITMENTS MAT EXCEED 1 YEAR
RC,RCON3838,PERPETUAL PREFERRED STK&REL SURPLUS
RC,RCON3839,SURPLUS
RCM,RCON4088,IS CU WEB SITE INTERACTIVE?
RCR,RCON4336,ACCMLTD NT GN(LOSS) ON CSH FLW HDGS
RCR,RCON5306,QUALIFYING SUBORDINATED DEBT
RCR,RCON5310,ALLL INCLUDIBLE IN TIER2 CAPITAL
RCR,RCON5311,TIER 2 (SUPPLEMENTARY) CAPITAL
RCR,RCON5320,TOTAL ASSETS (0% RISK-WEIGHT)
RCR,RCON5327,TOTAL ASSETS (20% RISK-WEIGHT)
RCR,RCON5334,TOTAL ASSETS (50% RISK-WEIGHT)
RCR,RCON5339,ALL OTHER ASSETS (100% RISK-WEIGHT)
RCR,RCON5340,TOTAL ASSETS (100% RISK-WEIGHT)
RCCI,RCON5367,ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN
RCCI,RCON5368,ALL OTH LNS SECD BY 1-4FMLY-JR LIENS
RC,RCON5369,LOANS AND LEASES HELD FOR SALE
RCCI,RCON5370,ADJTBL RATE CLOSED-END LNS SECD BY 1
RCM,RCON5372,DIRECT&INDIRECT INVEST IN RE VENTURE
RCM,RCON5374,DIRECT&INDIRECT INVEST IN RE VENTURE
RCM,RCON5375,ALL OTHR INVEST IN UNCONSLDTD SUBS
RCN,RCON5380,LNS TO FOREIGN BKS-PAST DU 30-89 DYS
RCN,RCON5381,LNS TO FOREIGN BKS-PAST DU 90 DYS OR
RCN,RCON5382,LNS TO FOREIGN BKS-NONACCRUAL
RCN,RCON5389,"LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS"
RCN,RCON5390,"LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR"
RCN,RCON5391,"LNS TO FGN GOV,ETC.-NONACCRUAL"
RCN,RCON5398,"RVLVG,OPEN-END LNS-PAST DU 30-89 DYS"
RCN,RCON5399,"RVLVG,OPEN-END LNS-PAST DU 90 DYS OR"
RCN,RCON5400,"RVLVG,OPEN-END LNS-NONACCRUAL"
RCN,RCON5401,"ALL OTH LNS,1-4FMLY-PAS DU 30-89 DYS"
RCN,RCON5402,"ALL OTH LNS,1-4FMLY-PAS DU 90 DYS OR"
RCN,RCON5403,"ALL OTH LNS,1-4FMLY-NONACCRUAL"
RCN,RCON5459,ALL OTHER LOANS-PAST DU 30-89 DAYS
RCN,RCON5460,ALL OTHER LOANS-PAST DU 90 DYS OR MO
RCN,RCON5461,ALL OTHER LOANS-NONACCRUAL
RCM,RCON5507,ALL OTHR IDENTIFIABLE INTANGBL ASSET
RCM,RCON5508,CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC
RCM,RCON5509,FARMLAND IN DOMESTIC OFFICES
RCM,RCON5510,1-4 FMLY RESDTL PROPTS IN DOMS OFFCS
RCM,RCON5511,MULTIFMLY RESDTL PROPTS IN DOMS OFFC
RCM,RCON5512,NONFRM NONRESDTL PROPTS IN DOMS OFFC
RCO,RCON5514,INT ACCRD&UNPD ON DEPS OF CNSLD SUBS
RCO,RCON5515,INT ACCRD&UNPD ON DEPS IN INSRD BRCH
RCO,RCON5516,UNAMORTZD PREMIUMS ON TIME&SVGS DEPS
RCO,RCON5517,UNAMORTZD DISCOUNT ON TIME&SVGS DEPS
RCCII,RCON5562,# OF LNS SECD BY NONFM NONRES PROPS
RCCII,RCON5563,# OF C&I LNS TO U.S. ADDRESSEES
RCCII,RCON5564,"# PERMNT MTG LNS AMTS $100,000 OR LS"
RCCII,RCON5565,"OTSTG BAL PRMT MTG LS $100,000 OR LS"
RCCII,RCON5566,"NO OF LOANS > $100,000 THRU $250,000"
RCCII,RCON5567,"OTSTDG BAL > $100,000 THRU $250,000"
RCCII,RCON5568,"NO OF LNS > $250,000 THRU $1 MILLION"
RCCII,RCON5569,"OTSTD BAL > $250,000 THRU $1 MILLION"
RCCII,RCON5570,"# NONMTG CML LNS AMTS $100,000 OR LS"
RCCII,RCON5571,"OTSTG BAL NONMTGE LNS $100,000 OR LS"
RCCII,RCON5572,"NO OF LOANS > $100,000 THRU $250,000"
RCCII,RCON5573,"OTSTDG BAL > $100,000 THRU $250,000"
RCCII,RCON5574,"NO OF LNS > $250,000 THRU $1 MILLION"
RCCII,RCON5575,"OTSTG BAL > $250,000 THRU $1 MILLION"
RCCII,RCON5576,NO OF LNS RPTD ON LINES: ITEM NO 260
RCCII,RCON5577,"# OF LS RPTD LINES: ITMS 300,303&306"
RCCII,RCON5578,"# LS SCD PRIM BY FRMS $100,000 OR LS"
RCCII,RCON5579,"OTST BL SCD PR BY FMS $100,000 OR LS"
RCCII,RCON5580,"NO OF LOANS > $100,000 THRU $250,000"
RCCII,RCON5581,"OTSTDG BAL > $100,000 THRU $250,000"
RCCII,RCON5582,"NO OF LOANS > $250,000 THRU $500,000"
RCCII,RCON5583,"OTSTDG BAL > $250,000 THRU $500,000"
RCCII,RCON5584,"# LNS TO FIN AGR PRDT $100,000 OR LS"
RCCII,RCON5585,"OTST BAL FIN AGR PRDT $100,000 OR LS"
RCCII,RCON5586,"NO OF LOANS > $100,000 THRU $250,000"
RCCII,RCON5587,"OTSTDG BAL > $100,000 THRU $250,000"
RCCII,RCON5588,"NO OF LOANS > $250,000 THRU $500,000"
RCCII,RCON5589,"OTSTDG BAL > $250,000 THRU $500,000"
RCE,RCON5590,PREFERRED DEPOSITS
RCL,RCON5591,ALL OTHER OFF-BALANCE SHEET ASSETS
RCL,RCON5592,1ST ITMZD&DESCRPTN LINE CPNT OF 5591
RCL,RCON5593,2ND ITMZD&DESCRPTN LINE CPNT OF 5591
RCL,RCON5594,3RD ITMZD&DESCRPTN LINE CPNT OF 5591
RCL,RCON5595,4TH ITMZD&DESCRPTN LINE CPNT OF 5591
RCO,RCON5596,DEPOSITS IN LIFELINE ACCOUNTS
RCO,RCON5597,ESTIMATE OF UNINSURED DEPOSITS
RCR,RCON5610,DEFRD TAX ASSETS DISALWD FOR REGLTRY
RCN,RCON5612,LNS&LEASES WHLY GUAR-PST DU 30-89 DY
RCN,RCON5613,LNS&LEASES WHLY GUAR-PST DU 90DYS OR
RCN,RCON5614,LNS&LEASES WHLY GUAR-NONACCRUAL
RCN,RCON5615,GUAR PORTN OF LNS&LS-PST DU 30-89 DY
RCN,RCON5616,GUAR PORTN OF LNS&LS-PST DU 90DYS OR
RCN,RCON5617,GUAR PORTN OF LNS&LS-NONACCRUAL
RCM,RCON6164,AGGREG AKT OF EXT OF CREDIT TO EXECS
RCM,RCON6165,# OF EXEC OFFCRSEPRIN SHAREHOLDERS
RCL,RCON6550,COMMITMTS TO FUND LNS NOT SECD BY RE
RCN,RCON6558,"COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG"
RCN,RCON6559,"COMMCL RE,ETC.-PAST DUE 90DYS OR MOR"
RCN,RCON6560,"COMMCL RE,ETC.-NONACCRUAL"
RC,RCON6631,NON-INTEREST BEARING DEPOSITS
RC,RCON6636,TOT INT BEAR DEPS IN DOM&FGN OFF
RCE,RCON6648,TIME DEPOSITS LT 100000
RC,RCON6724,AUDIT INDICATOR
RCE,RCON6810,AMT OUTSTDG IN MONEY MARKET DEP ACCT
RCE,RCON6835,IRA AND KEOGH PLAN ACCOUNTS
RCCII,RCON6860,AGRICLTRL LNS TO SMALL FARMS INDCTR
RCO,RCON6861,EST AMT OF UNINSURD DEPS METHD INDCT
NARR,RCON6979,NO COMMENT-BK MANAGEMENT STATEMENT
RCCII,RCON6999,LOANS TO SMALL BUSINESSES INDICATOR
RCR,RCON7204,TIER 1 LEVERAGE CAPITAL RATIO
RCR,RCON7205,TOTAL RISK-BASED CAPITAL RATIO
RCR,RCON7206,TIER 1 RISK-BASED CAPITAL RATIO
RCR,RCON7273,TIER 1 LEVERAGE RATIO
RCR,RCON7274,TIER 1 RISK-BASED CAPITAL RATIO
RCR,RCON7275,TOTAL RISK-BASED CAPITAL RATIO
LEO,RCON7701,RGE OF INT CHG ON LNS TO EXEC OFF-FR
LEO,RCON7702,RGE OF INT CHG ON LNS TO EXEC OFF-TO
RCR,RCON8274,TIER 1 CPTL ALLWBL UNDR RISK-BASED
RCR,RCON8275,TIER 2 CPTL ALLWBL UNDR RISK-BASED
RCO,RCON8432,BENFT-RESPNSV DEPSTRY INSTN INVSTMT
RCR,RCON8434,NET UNRELZD HLDG GAINS(LOSS) ON AVL
RCH,RCON8492,US GOVT AGCY&CORP OBLIGS-AMRTZ COST
RCH,RCON8495,US GOVT AGCY&CORP OBLIGS-FAIR VALUE
RCB,RCON8496,SECS ISSD BY US ST&POL SUBDYS-AMRTZ
RCB,RCON8497,SECS ISSD BY US ST&POL SUBDYS-FAIR
RCB,RCON8498,SECS ISSD BY US ST&POL SUBDYS-AMRTZ
RCB,RCON8499,SECS ISSD BY US ST&POL SUBDYS-FAIR
RC,RCON8678,FISCAL YEAR END
RCL,RCON8693,FUTURES INT RATE CONTRACTS-NOTIONAL
RCL,RCON8694,FUTURES FGN EXCHG CONTRACTS-NOTIONAL
RCL,RCON8695,FUTURES EQTY DERIVATIVE CONTRACTS
RCL,RCON8696,FUTURES COMMODITY&OTHER CONTRACTS
RCL,RCON8697,FORWARDS INT RATE CONTRACTS-NOTIONAL
RCL,RCON8698,FORWARDS FGN EXCHG CONTRACTS-NOTIONL
RCL,RCON8699,FORWARDS EQTY DERIVATIVE CONTRACTS
RCL,RCON8700,FORWARDS COMMODITY&OTHER CONTRACTS
RCL,RCON8701,WRITTEN INT RATE CONTRACTS-EXCHG TRD
RCL,RCON8702,WRITTEN FGN EXCHG CONTRACTS-EXCH TRD
RCL,RCON8703,WRITTEN EQTY DERIVATIVE CONTRACTS
RCL,RCON8704,WRITTEN COMMODITY&OTHER CONTRACTS
RCL,RCON8705,PURCHSD INT RATE CONTRACTS-EXCHG TRD
RCL,RCON8706,PURCHSD FGN EXCHG CONTRACTS-EXCH TRD
RCL,RCON8707,PURCHSD EQTY DERIVATIVE CONTRACTS
RCL,RCON8708,PURCHSD COMMODITY&OTHER CONTRACTS
RCL,RCON8709,WRITTEN INT RATE CONTRACTS-OTC
RCL,RCON8710,WRITTEN FGN EXCHG CONTRACTS-OTC
RCL,RCON8711,WRITTEN EQTY DERIVATIV CONTRACTS-OTC
RCL,RCON8712,WRITTEN COMMODITY&OTHR CONTRACTS-OTC
RCL,RCON8713,PURCHSD INT RATE CONTRACTS-OTC
RCL,RCON8714,PURCHSD FGN EXCHG CONTRACTS-OTC
RCL,RCON8715,PURCHSD EQTY DERIVATIV CONTRACTS-OTC
RCL,RCON8716,PURCHSD COMMODITY&OTHR CONTRACTS-OTC
RCL,RCON8719,NOTIONAL VALUE OF EQTY DERVTIV SWAPS
RCL,RCON8720,NOTIONAL VALUE OF COMMODTY&OTH SWAPS
RCL,RCON8723,TOTL EQTY DEV CONTRCS-HELD FOR TRDG
RCL,RCON8724,TOTL CMDY&OTH CONTRCS-HELD FOR TRDG
RCL,RCON8725,TOTL INT RATE CONTRCS-MKD TO MARKET
RCL,RCON8726,TOTL FGN EXCH CONTRCS-MKD TO MARKET
RCL,RCON8727,TOTL EQTY DEV CONTRCS-MKD TO MARKET
RCL,RCON8728,TOTL CMDY&OTH CONTRCS-MKD TO MARKET
RCL,RCON8733,GRS POSTV FAIR VALU OF INT RATE CNTR
RCL,RCON8734,GRS POSTV FAIR VALU OF FGN EXCH CNTR
RCL,RCON8735,GRS POSTV FAIR VALU OF EQTY DEV CNTR
RCL,RCON8736,GRS POSTV FAIR VALU OF CMDY&OTH CNTR
RCL,RCON8737,GRS NEGTV FAIR VALU OF INT RATE CNTR
RCL,RCON8738,GRS NEGTV FAIR VALU OF FGN EXCH CNTR
RCL,RCON8739,GRS NEGTV FAIR VALU OF EQTY DEV CNTR
RCL,RCON8740,GRS NEGTV FAIR VALU OF CMDY&OTH CNTR
RCL,RCON8741,GR POS FR VAL OF INT RATE-MKD TO MKT
RCL,RCON8742,GR POS FR VAL OF FGN EXCH-MKD TO MKT
RCL,RCON8743,GR POS FR VAL OF EQTY DEV-MKD TO MKT
RCL,RCON8744,GR POS FR VAL OF CMDY&OTH-MKD TO MKT
RCL,RCON8745,GR NEG FR VAL OF INT RATE-MKD TO MKT
RCL,RCON8746,GR NEG FR VAL OF FGN EXCH-MKD TO MKT
RCL,RCON8747,GR NEG FR VAL OF EQTY DEV-MKD TO MKT
RCL,RCON8748,GR NEG FR VAL OF CMDY&OTH-MKD TO MKT
RCR,RCON8764,NET CURRENT CREDIT EXPOSURE
RCL,RCON8765,SPOT FOREIGN EXCHANGE CONTRACTS
RCR,RCON8766,INT RATE CONTRCTS-MAT OVER1THRU5 YRS
RCR,RCON8767,INT RATE CONTRCTS-MAT OVER 5 YEARS
RCR,RCON8769,FGN EXCHG RATE CNTRCS-MAT OVR1-5 YRS
RCR,RCON8770,FGN EXCHG RATE CNTRCS-MAT OVER 5 YRS
RCR,RCON8771,GOLD CONTRACTS-MAT ONE YEAR OR LESS
RCR,RCON8772,GOLD CONTRACTS-MAT OVER 1 THRU 5 YRS
RCR,RCON8773,GOLD CONTRACTS-MAT OVER 5 YEARS
RCR,RCON8774,OTH PRECS METL-MAT ONE YEAR OR LESS
RCR,RCON8775,OTH PRECS METL-MAT OVER 1 THRU 5 YRS
RCR,RCON8776,OTH PRECS METL-MAT OVER 5 YEARS
RCR,RCON8777,OTHR COMMODITY-MAT ONE YEAR OR LESS
RCR,RCON8778,OTHR COMMODITY-MAT OVER 1 THRU 5 YRS
RCR,RCON8779,OTHR COMMODITY-MAT OVER 5 YEARS
RCB,RCON8782,AMORTIZED COST OF STRUCTURED NOTES
RCB,RCON8783,FAIR VALUE OF STRUCTURED NOTES
RCO,RCON8785,AMT DEM DEP REDUC IF BALS REP NET BS
ENT,RCON9224,ID_LEI
ENT,RCON9999,MICR9999REPORT DATE
RCR,RCONA000,EQUITY CONTRCT-MAT ONE YEAR OR LESS
RCR,RCONA001,EQUITY CONTRCT-MAT OVER 1 THRU 5 YRS
RCR,RCONA002,EQUITY CONTRCT-MAT OVER 5 YEARS
RCL,RCONA126,TOTAL INT RATE CONTRACTS TRADING
RCL,RCONA127,TOTAL FGN EXCH CONTRACTS TRADING
RC,RCONA130,OTHER COMPONENTS OF EQUITY CAPITAL
RCR,RCONA167,EQUIV AMT OF OFF-B/S DERIVATIVES
RCO,RCONA181,INCR IN DEM DEP IF RECIP BAL GROSS
RCO,RCONA182,DECR IN DEM DEP IF CIPC INCLUDED
RCR,RCONA221,NET UNREAL LOSS ON AFS EQTY SEC
RCR,RCONA222,EXCESS ALLOWANCE FOR LN&LEASE LOSSES
RCR,RCONA223,RISK-WEIGHTED ASSETS
RCR,RCONA224,AVERAGE TOTAL ASSETS
RCE,RCONA241,TM DEPS LT 100000 MAT LESS 1 YR
RCE,RCONA242,TIME DEPS GE 100000 MAT LESS 1 YR
RCE,RCONA243,BROKERED DEPS LT 100000 MAT LE 1 YR
RCE,RCONA244,BROKERED DEPS GE 100000 MAT LE 1 YR
RCCI,RCONA247,FXD&FLTG RT LNS&LEASES MAT 1 YR OR L
RCB,RCONA248,FXD&FLTG RT DEBT SECS MAT 1 YR OR LE
RCS,RCONA249,OUTSTDG PRNCPL BALC OF SBO'S TRANSFD
RCR,RCONA250,AMT OF RETAINED RECOURSE ON SBO'S
RCT,RCONA345,FIDUCIARY POWERS GRTD NOT EXERCISED
RCT,RCONA346,FIDCRY PWRS GRTD&EXERCSD NO DOLR RPT
RCB,RCONA510,AMTZ COS OF AVL-FOR-SL INVES MUTL FD
RCB,RCONA511,FAIR VAL OF AVL-FOR-SL INVES MUTL FD
RCK,RCONA514,"QTR AVG TIME DEPOSITS >= $100,000"
RCF,RCONA519,INT-ONLY STRIPS RCVBL ON:MORTG LOANS
RCF,RCONA520,INT-ONLY STRPS RCVBL ON:OT FIN ASSTS
RCS,RCONA521,OUTSTDG PRNCPL BAL OF MTGES TRANSFRD
RCS,RCONA522,AMT OF RECOURSE EXPSRE ON THESE MTGS
RCS,RCONA523,OUTSTDG PRNCPL BAL ASSETS TRANSFRD
RCS,RCONA524,AMT OF RECOURSE EXPSRE ON THESE ASTS
RCO,RCONA527,AMT OF ASSETS NETTED AGST DMND DEPS
RCO,RCONA528,AMT OF ASSETS NETTED AGST SVGS DEPS
RCK,RCONA529,"QTR AVG TIME DEPOSITS < $100,000"
RCO,RCONA531,TOTL DEPS PURCHD/ACQRD FROM OTH FDIC
RCO,RCONA532,AMT OF PURCHD/ACQRD DPS RPTD IN A531
RCO,RCONA533,TOTL DEPS SOLD OR TRNSFRD DURING QTR
RCL,RCONA534,CRD DERIV WHICH RPTG BK IS GUARANTOR
RCL,RCONA535,CRD DERIV WHICH RPTG BK IS BENEFICRY
RCO,RCONA545,PB/PSA FDIC CERTIFICATE NUMBER
RCB,RCONA549,"SECS ISD BY US TREAS,ETC 3 MOS LESS"
RCB,RCONA550,"SECS ISD BY US TREAS,ETC OV 3-12 MOS"
RCB,RCONA551,"SECS ISD BY US TREAS,ETC OV 1-3 YRS"
RCB,RCONA552,"SECS ISD BY US TREAS,ETC OV 3-5 YRS"
RCB,RCONA553,"SECS ISD BY US TREAS,ETC OV 5-15 YRS"
RCB,RCONA554,"SECS ISD BY US TREAS,ETC OVER 15 YRS"
RCB,RCONA555,MTGE PASS-THRU SECS MAT 3 MONTHS LES
RCB,RCONA556,MTGE PASS-THRU SECS MAT OV 3-12 MTHS
RCB,RCONA557,MTGE PASS-THRU SECS MAT OV 1 - 3 YRS
RCB,RCONA558,MTGE PASS-THRU SECS MAT OV 3 - 5 YRS
RCB,RCONA559,MTGE PASS-THRU SECS MAT OV 5 - 15 YR
RCB,RCONA560,MTGE PASS-THRU SECS MAT OVER 15 YEAR
RCB,RCONA561,OTHER MTG-BCKD SECS 3 YEARS OR LESS
RCB,RCONA562,OTHER MTG-BCKD SECS OVER 3 YEARS
RCCI,RCONA564,CLSD-END LNS SECD 1ST LIENS 3 MOS LE
RCCI,RCONA565,CLSD-END LNS SECD 1ST LIENS OV3-12 M
RCCI,RCONA566,CLSD-END LNS SECD 1ST LIENS OV 1-3 Y
RCCI,RCONA567,CLSD-END LNS SECD 1ST LIENS OV 3-5 Y
RCCI,RCONA568,CLSD-END LNS SECD 1ST LIENS OVR 15 Y
RCCI,RCONA569,LOANS SECD BY RE MAT OVER 15 YEARS
RCCI,RCONA570,OTHER LNS&LEASES MAT 3 MONTHS OR LES
RCCI,RCONA571,OTHER LNS&LEASES MAT OVER 3-12 MONTH
RCCI,RCONA572,OTHER LNS&LEASES MAT OVR 1 - 3 YRS
RCCI,RCONA573,OTHER LNS&LEASES MAT OVR 3 - 5 YRS
RCCI,RCONA574,OTHER LNS&LEASES MAT OVR 5 - 15 YRS
RCCI,RCONA575,OTHER LNS&LEASES MATURITY OVER 15 YR
RCE,RCONA579,TM DEPS LT 100000 MAT/REPRCE LE 3 MO
RCE,RCONA580,TM DEPS LT 100000 MAT/REPRCE 3-12 MO
RCE,RCONA581,TM DEPS LT 100000 MAT/REPRCE 1-3 YR
RCE,RCONA582,TM DEPS LT 100000 MAT/REPRCE GT 3 YR
RCE,RCONA584,TM DEPS GE 100000 MAT/REPRCE LE 3 MO
RCE,RCONA585,TM DEPS GE 100000 MAT/REPRCE 3-12 MO
RCE,RCONA586,TM DEPS GE 100000 MAT/REPRCE 1-3 YR
RCE,RCONA587,TM DEPS GE 100000 MAT/REPRCE GT 3 YR
RCL,RCONA589,INT RATE CONTRTS-INTEREST RATE SWAPS
RCM,RCONA590,ESTMTD FAIR VAL OF MTG SERVNG ASSETS
RCS,RCONA591,OTSTDNG PRIN BAL LNS OTH TH 1-4 FAML
RCM,RCONB026,PURCD CRD CD RLSHPS&NONMTG SRVG ASTS
RCS,RCONB500,"AMT OF OWNRSHP,ETC:LOANS-HM EQ LINES"
RCS,RCONB501,"AMT OF OWRSHP,ETC:LOANS-CRDT CRD RCV"
RCS,RCONB502,"AMT OF OWNRSHP,ETC:LOANS-CMMRL&INDUS"
RCR,RCONB503,ADJSTMNT TO TOTL RSK-BASED CPTL
RCR,RCONB504,ADJUSTMENT TO RWA
RCR,RCONB505,ADJUSTMENT TO AVERAGE TOTAL ASSETS
RCR,RCONB520,FED FNDS SLD&SECS PRCHD UDR AGMT-100
RC,RCONB528,"LOANS & LEASES, NET UNEARNED INCOME"
RC,RCONB529,"LOANS & LEASES, NET UNEARN INC&ALLOW"
RC,RCONB530,ACCUMULATED OTH COMPREHENSIVE INCOME
RCCI,RCONB531,LOANS TO COM BANKS IN THE U.S.-DERV
RCCI,RCONB532,LNS TO U.S. BRNCHES&AGNCIES FRGN BKS
RCCI,RCONB533,LNS TO OTHER COMMRCL BKS IN THE U.S.
RCCI,RCONB534,LNS TO OTH DEPSTRY INSTITNS IN U.S.
RCCI,RCONB535,LOANS TO BNKS IN FGN COUN - DERIVED
RCCI,RCONB536,LNS TO FRGN BRNCHES OF OTH U.S. BNKS
RCCI,RCONB537,LNS TO OTH BNKS IN FOREIGN COUNTRIES
RCCI,RCONB538,CREDIT CARDS LOANS
RCCI,RCONB539,OTHER REVOLVING CREDIT PLAN LOANS
RCR,RCONB541,RECOURSE & DIRECT CRD SUBS-FACE VALU
RCR,RCONB542,RECOURSE&DIRCT CRDT SUBS-CRDT EQ AMT
RCR,RCONB543,RECOURSE&DIRECT CRDT SUBSTITS-100%
RCR,RCONB546,FINCL STANDBY LTTRS OF CRD-FACE VALU
RCR,RCONB547,FINCL STANDBY LETTRS OF CRD-EQVL AMT
RCR,RCONB548,FINANCIAL STANDBY LETTRS OF CRDIT-0%
RCE,RCONB549,TRANSACTION ACCTS: IPC DEPOSITS
RCE,RCONB550,NONTRANSACTION ACCTS: IPC DEPOSITS
RCE,RCONB551,TRANSACTION ACCT: CB'S & DI'S IN U.S
RCE,RCONB552,NONTRANSACT ACCT: CB'S & DI'S IN U.S
RCF,RCONB556,ACCRUED INTEREST RECEIVABLE
RCG,RCONB557,ALL0WANCE FOR CREDIT LOSSES OFF B/S
RCK,RCONB558,QTR AVG: U.S. TREAS SEC & GOVT OBLIG
RCK,RCONB559,QTR AVG: MORTGAGE-BACKED SECURITIES
RCK,RCONB560,QTR AVG: ALL OTHER SECURITIES
RCK,RCONB561,QTR AVG: CREDIT CARD LOANS
RCK,RCONB562,QTR AVG: OTHER LOANS TO INDIVIDUALS
RCK,RCONB563,QTR AVG: NONTRANS - SAVING DEPOSITS
RCM,RCONB565,FHLB ADVANCES: MATURING 1-3 YEARS
RCM,RCONB566,FHLB ADVANCES: MATURING > 3 YEARS
RCM,RCONB567,OTHER BORROWINGS MATURING 1-3 YEARS
RCM,RCONB568,OTHER BORROWINGS MATURING > 3 YEARS
RCM,RCONB569,DOES RPRTNG BANK SELL MUTUAL FUNDS?
RCM,RCONB570,ASSETS MANAGED: MUTUAL FUNDS&ANNUITY
RCM,RCONB571,OTHER BORR0WINGS MATURING <= 1 YEAR
RCN,RCONB575,PAST DUE(30-89DA): CREDIT CARD LOANS
RCN,RCONB576,PAST DUE(>=90DAY): CREDIT CARD LOANS
RCN,RCONB577,PAST DUE(NONACCR): CREDIT CARD LOANS
RCN,RCONB578,PAST DUE(30-89DA): OTHER INDIV LOANS
RCN,RCONB579,PAST DUE(>=90DAY): OTHER INDIV LOANS
RCN,RCONB580,PAST DUE(NONACCR): OTHER INDIV LOANS
RCR,RCONB581,FINANCIAL STANDBY LETTRS OF CRDT-20%
RCR,RCONB582,FIANCIAL STANDBY LETTRS OF CRDIT-50%
RCR,RCONB583,FINANCIAL STANDBY LETTRS OF CRD-100%
RCR,RCONB588,NONQUALIFYING PERPETUAL PREFER STOCK
RCR,RCONB589,QUALIFYING MINORITY INT CONSOL SUBS
RCR,RCONB590,DISALLOWD GOODWILL&OTH INTANG ASSETS
RCR,RCONB591,DISALLOWD SERVICING ASSETS & PCCR'S
RCR,RCONB592,OTHER ADDITIONS(DEDUCT) FROM TIER1
RCR,RCONB593,CUMULATIVE PERPETUAL PREFERRED STOCK
RCR,RCONB594,OTHER TIER 2 CAPITAL COMPONENTS
RCR,RCONB595,DEDUCTIONS FOR TOTL RISK-BASED CAPTL
RCR,RCONB596,OTHR DEDUCT FR ASSETS FOR LEVRGE CAP
RCR,RCONB600,CASH & BAL DUE FROM DI'S: 0% RSK-WGT
RCR,RCONB601,CASH & BAL DUE FROM DI'S: 20% RSK-WT
RCR,RCONB602,CASH & BAL DUE FROM DI'S:100% RSK-WT
RCR,RCONB603,H-T-M SECURITIES-NOT SUBJECT RSK-WT
RCR,RCONB604,HELD-TO-MATUR SECURITIES: 0% RSK-WGT
RCR,RCONB605,HELD-TO-MATUR SECURITIES: 20%RSK-WGT
RCR,RCONB606,HELD-TO-MATUR SECURITIES: 50%RSK-WGT
RCR,RCONB607,HELD-TO-MATUR SECURITIES:100%RSK-WGT
RCR,RCONB608,A-F-S SECURITES - NOT SUBJECT RSK-WT
RCR,RCONB609,AVAIL-FOR-SALE SECUR: 0% RISK-WGT
RCR,RCONB610,AVAIL-FOR-SALE SECUR: 20% RISK-WGT
RCR,RCONB611,AVAIL-FOR-SALE SECUR: 50% RISK-WGT
RCR,RCONB612,AVAIL-FOR-SALE SECUR: 100% RISK-WGT
RCR,RCONB613,FED FUNDS SOLD&SEC PUR: 0% RISK-WTG
RCR,RCONB614,FED FUNDS SOLD&SECS PUR: 20% RSK-WGT
RCR,RCONB616,FED FUNDS SOLD&SECS PUR: 100% RSK-WG
RCR,RCONB617,LOANS&LEASES H-F-S: NOT SUBJ RSK-WGT
RCR,RCONB618,LOANS & LEASES H-F-S: 0% RISK-WEIGHT
RCR,RCONB619,LOANS & LEASES H-F-S: 20% RISK-WGT
RCR,RCONB620,LOANS & LEASES H-F-S:-50% RISK-WGT
RCR,RCONB621,LOANS & LEASES H-F-S: 100% RISK-WGT
RCR,RCONB622,"LOANS & LEASES,NET: NOT SUBJ RSK-WGT"
RCR,RCONB623,"LOANS & LEASES, NET: 0% RISK-WEIGHT"
RCR,RCONB624,"LOANS & LEASES, NET: 20% RISK-WEIGHT"
